instance_sn,role,app_name,cpu_request,cpu_limit,gpu_request,gpu_limit,rdma_request,rdma_limit,memory_request,memory_limit,disk_request,disk_limit,max_instance_per_node,creation_time,scheduled_time,deletion_time,estimated_runtime
instance_7438,CN,app_35,192,192,0,0,51,51,960.0,960.0,340.0,400.0,-1,42728.0,42757.0,111015.0,68287.0
instance_7439,HN,app_62,8,8,1,1,25,25,40.0,40.0,200.0,200.0,2,43354.0,43532.0,213417.0,170063.0
instance_7440,CN,app_14,48,48,0,0,1,1,240.0,240.0,255.0,300.0,-1,43478.0,43537.0,91447.0,47969.0
instance_7441,CN,app_0,48,48,0,0,25,25,200.0,200.0,680.0,800.0,2,43637.0,43637.0,44118.0,481.0
instance_7442,CN,app_35,192,192,0,0,51,51,960.0,960.0,340.0,400.0,-1,44438.0,44438.0,489849.00000000006,445411.00000000006
instance_7443,HN,app_0,12,12,1,1,25,25,120.0,120.0,680.0,800.0,8,44837.0,44853.0,45405.0,568.0
instance_7444,CN,app_88,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,45281.0,45324.0,137508.0,92227.0
instance_7445,CN,app_18,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,45280.0,45280.0,137589.0,92309.0
instance_7446,CN,app_54,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,45280.0,45324.0,310651.0,265371.0
instance_7448,CN,app_82,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,45280.0,45324.0,137897.0,92617.0
instance_7449,CN,app_2,64,64,0,0,1,1,320.0,320.0,425.0,500.0,-1,45280.0,45324.0,138958.0,93678.0
instance_7450,CN,app_20,64,64,0,0,1,1,320.0,320.0,544.0,640.0,-1,45281.0,45281.0,517124.00000000006,471843.00000000006
instance_7451,CN,app_18,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,45280.0,45280.0,918535.0,873255.0
instance_7452,CN,app_2,64,64,0,0,1,1,320.0,320.0,425.0,500.0,-1,45281.0,45324.0,996509.0,951228.0
instance_7453,CN,app_22,64,64,0,0,1,1,320.0,320.0,544.0,640.0,-1,45281.0,45324.0,1129779.0,1084498.0
instance_7454,CN,app_16,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,45281.0,45324.0,1752946.0,1707665.0
instance_7455,CN,app_11,64,64,0,0,1,1,400.0,400.0,255.0,300.0,2,45281.0,45281.0,2283138.0,2237857.0
